iteration,sites_found,n_total,n_sampled
1,4,1502,1201
2,6,1502,1201
3,3,1502,1201
4,3,1502,1201
5,4,1502,1201
6,8,1502,1201
7,4,1502,1201
8,2,1502,1201
9,5,1502,1201
10,6,1502,1201
11,4,1502,1201
12,5,1502,1201
13,4,1502,1201
14,12,1502,1201
15,8,1502,1201
16,7,1502,1201
17,5,1502,1201
18,8,1502,1201
19,7,1502,1201
20,4,1502,1201
21,4,1502,1201
22,5,1502,1201
23,4,1502,1201
24,1,1502,1201
25,6,1502,1201
26,4,1502,1201
27,3,1502,1201
28,5,1502,1201
29,2,1502,1201
30,4,1502,1201
31,5,1502,1201
32,2,1502,1201
33,2,1502,1201
34,8,1502,1201
35,6,1502,1201
36,4,1502,1201
37,7,1502,1201
38,2,1502,1201
39,8,1502,1201
40,4,1502,1201
41,1,1502,1201
42,2,1502,1201
43,3,1502,1201
44,7,1502,1201
45,5,1502,1201
46,5,1502,1201
47,4,1502,1201
48,3,1502,1201
49,2,1502,1201
50,6,1502,1201
51,8,1502,1201
52,3,1502,1201
53,3,1502,1201
54,6,1502,1201
55,5,1502,1201
56,4,1502,1201
57,3,1502,1201
58,2,1502,1201
59,5,1502,1201
60,4,1502,1201
61,9,1502,1201
62,6,1502,1201
63,5,1502,1201
64,3,1502,1201
65,6,1502,1201
66,6,1502,1201
67,7,1502,1201
68,2,1502,1201
69,6,1502,1201
70,3,1502,1201
71,2,1502,1201
72,5,1502,1201
73,7,1502,1201
74,7,1502,1201
75,8,1502,1201
76,2,1502,1201
77,2,1502,1201
78,4,1502,1201
79,7,1502,1201
80,7,1502,1201
81,3,1502,1201
82,3,1502,1201
83,4,1502,1201
84,4,1502,1201
85,7,1502,1201
86,7,1502,1201
87,3,1502,1201
88,4,1502,1201
89,4,1502,1201
90,6,1502,1201
91,10,1502,1201
92,4,1502,1201
93,6,1502,1201
94,5,1502,1201
95,5,1502,1201
96,7,1502,1201
97,4,1502,1201
98,6,1502,1201
99,7,1502,1201
100,4,1502,1201
101,1,1502,1201
102,4,1502,1201
103,2,1502,1201
104,3,1502,1201
105,2,1502,1201
106,1,1502,1201
107,2,1502,1201
108,4,1502,1201
109,7,1502,1201
110,4,1502,1201
111,3,1502,1201
112,7,1502,1201
113,8,1502,1201
114,2,1502,1201
115,4,1502,1201
116,4,1502,1201
117,5,1502,1201
118,8,1502,1201
119,6,1502,1201
120,4,1502,1201
121,6,1502,1201
122,4,1502,1201
123,6,1502,1201
124,4,1502,1201
125,5,1502,1201
126,3,1502,1201
127,0,1502,1201
128,7,1502,1201
129,6,1502,1201
130,7,1502,1201
131,3,1502,1201
132,6,1502,1201
133,8,1502,1201
134,3,1502,1201
135,5,1502,1201
136,5,1502,1201
137,4,1502,1201
138,5,1502,1201
139,6,1502,1201
140,6,1502,1201
141,4,1502,1201
142,3,1502,1201
143,8,1502,1201
144,3,1502,1201
145,5,1502,1201
146,8,1502,1201
147,6,1502,1201
148,2,1502,1201
149,4,1502,1201
150,4,1502,1201
151,3,1502,1201
152,8,1502,1201
153,9,1502,1201
154,4,1502,1201
155,4,1502,1201
156,5,1502,1201
157,11,1502,1201
158,5,1502,1201
159,6,1502,1201
160,9,1502,1201
161,3,1502,1201
162,6,1502,1201
163,6,1502,1201
164,3,1502,1201
165,7,1502,1201
166,5,1502,1201
167,2,1502,1201
168,6,1502,1201
169,2,1502,1201
170,6,1502,1201
171,3,1502,1201
172,5,1502,1201
173,5,1502,1201
174,4,1502,1201
175,6,1502,1201
176,8,1502,1201
177,3,1502,1201
178,4,1502,1201
179,10,1502,1201
180,5,1502,1201
181,5,1502,1201
182,2,1502,1201
183,5,1502,1201
184,6,1502,1201
185,4,1502,1201
186,9,1502,1201
187,6,1502,1201
188,6,1502,1201
189,4,1502,1201
190,5,1502,1201
191,0,1502,1201
192,5,1502,1201
193,2,1502,1201
194,3,1502,1201
195,5,1502,1201
196,5,1502,1201
197,2,1502,1201
198,7,1502,1201
199,5,1502,1201
200,5,1502,1201
201,2,1502,1201
202,2,1502,1201
203,1,1502,1201
204,2,1502,1201
205,4,1502,1201
206,3,1502,1201
207,5,1502,1201
208,4,1502,1201
209,5,1502,1201
210,10,1502,1201
211,5,1502,1201
212,4,1502,1201
213,6,1502,1201
214,4,1502,1201
215,7,1502,1201
216,5,1502,1201
217,5,1502,1201
218,6,1502,1201
219,3,1502,1201
220,6,1502,1201
221,5,1502,1201
222,8,1502,1201
223,7,1502,1201
224,11,1502,1201
225,7,1502,1201
226,9,1502,1201
227,7,1502,1201
228,1,1502,1201
229,4,1502,1201
230,4,1502,1201
231,5,1502,1201
232,3,1502,1201
233,9,1502,1201
234,5,1502,1201
235,8,1502,1201
236,4,1502,1201
237,5,1502,1201
238,8,1502,1201
239,3,1502,1201
240,4,1502,1201
241,11,1502,1201
242,5,1502,1201
243,7,1502,1201
244,4,1502,1201
245,5,1502,1201
246,6,1502,1201
247,5,1502,1201
248,5,1502,1201
249,2,1502,1201
250,5,1502,1201
251,6,1502,1201
252,1,1502,1201
253,8,1502,1201
254,4,1502,1201
255,5,1502,1201
256,2,1502,1201
257,5,1502,1201
258,7,1502,1201
259,3,1502,1201
260,2,1502,1201
261,7,1502,1201
262,7,1502,1201
263,3,1502,1201
264,3,1502,1201
265,8,1502,1201
266,3,1502,1201
267,7,1502,1201
268,6,1502,1201
269,4,1502,1201
270,4,1502,1201
271,0,1502,1201
272,2,1502,1201
273,4,1502,1201
274,2,1502,1201
275,2,1502,1201
276,7,1502,1201
277,0,1502,1201
278,3,1502,1201
279,2,1502,1201
280,5,1502,1201
281,7,1502,1201
282,4,1502,1201
283,4,1502,1201
284,2,1502,1201
285,7,1502,1201
286,5,1502,1201
287,7,1502,1201
288,5,1502,1201
289,4,1502,1201
290,6,1502,1201
291,4,1502,1201
292,4,1502,1201
293,2,1502,1201
294,2,1502,1201
295,6,1502,1201
296,5,1502,1201
297,2,1502,1201
298,4,1502,1201
299,9,1502,1201
300,4,1502,1201
301,4,1502,1201
302,5,1502,1201
303,6,1502,1201
304,13,1502,1201
305,4,1502,1201
306,4,1502,1201
307,0,1502,1201
308,2,1502,1201
309,9,1502,1201
310,4,1502,1201
311,5,1502,1201
312,3,1502,1201
313,4,1502,1201
314,6,1502,1201
315,3,1502,1201
316,5,1502,1201
317,6,1502,1201
318,4,1502,1201
319,6,1502,1201
320,4,1502,1201
321,1,1502,1201
322,6,1502,1201
